,Ticker,Company,Sector
338,VTL.BO,VARDHMAN TEXTILES LTD.,Textiles
339,PENINLAND.BO,PENINSULA LAND LTD.,Realty
340,PASUSPG.BO,PASUPATI SPG.& WVG.MILLS LTD.,Textiles
341,PHOENIXLTD.BO,The Phoenix Mills Ltd,Realty
342,MARATHON.BO,MARATHON NEXTGEN REALTY LTD.,Realty
343,RAJABAH.BO,RAJA BAHADUR INTERNATIONAL LTD.,Diversified
344,RELCHEMQ.BO,RELIANCE CHEMOTEX INDUSTRIES LTD.-$,Textiles
345,RUBYMILLS.BO,RUBY MILLS LTD.,Textiles
346,SIMPLXREA.BO,SIMPLEX REALTY LTD.,Realty
347,SWANENERGY.BO,SWAN ENERGY LTD.,Textiles
348,VICTMILL.BO,VICTORIA MILLS LTD.,Textiles
349,ZSVTRADI.BO,S.V.TRADING & AGENCIES LTD.,Other Financial Services
350,ZSVARAJT.BO,SVARAJ TRADING & AGENCIES LTD.,Other Financial Services
351,SALSAIN.BO,SHREE SALASAR INVESTMENT LTD.,Other Financial Services
352,INDSOYA.BO,INDSOYA LTD.,Diversified Commercial Services
353,ZODIACVEN.BO,Zodiac Ventures Limited,Consulting Services
354,VEERENRGY.BO,VEER ENERGY & INFRASTRUCTURE LTD.,Electric Utilities
355,SW1.BO,SW Investments Ltd,Diversified Commercial Services
356,TILAK.BO,Tilak Ventures Ltd,Investment Companies
357,KKFIN.BO,K K Fincorp Limited,Diversified Commercial Services
358,UNIJOLL.BO,UNIJOLLY INVESTMENTS CO.LTD.,Other Financial Services
359,WAGEND.BO,Wagend Infra Venture Limited,Diversified Commercial Services
360,ELCIDIN.BO,ELCID INVESTMENTS LTD.,Diversified Commercial Services
361,HEALINV.BO,HEALTHY INVESTMENTS LTD.,Diversified Commercial Services
362,SAHARA.BO,SAHARA ONE MEDIA & ENTERTAINMENT LTD.-$,Broadcasting & Cable TV
363,SHRENTI.BO,SHREENATH INVESTMENTS CO.LTD.,Diversified Commercial Services
364,BANSWRAS.BO,BANSWARA SYNTEX LTD.-$,Textiles
365,MODWOOL.BO,MODELLA WOOLLENS LTD.,Comm.Trading  & Distribution
366,MODIPON.BO,MODIPON LTD.,Agrochemicals
367,SHRIDINE.BO,SHRI DINESH MILLS LTD.-$,Textiles
368,SRF.BO,SRF LTD.,Diversified
369,SIYSIL.BO,SIYARAM SILK MILLS LTD.-$,Textiles
370,SWADPOL.BO,SWADESHI POLYTEX LTD.,Textiles
371,SHRAJSYNQ.BO,SHREE RAJASTHAN SYNTEX LTD.-$,Textiles
372,SHRMFGC.BO,SHREE MANUFACTURING CO.LTD.,Textiles
373,ZSATYASL.BO,SATYAM SILK MILLS LTD.,Other Financial Services
374,BBL.BO,BHARAT BIJLEE LTD.-$,Other Elect.Equip./ Prod.
375,ELPROINTL.BO,ELPRO INTERNATIONAL LTD.,Other Elect.Equip./ Prod.
376,EMCO.BO,EMCO LTD.-$,Heavy Electrical Equipment
377,GEE.BO,GEE LTD.,Other Industrial Goods
378,HIRECT.BO,HIND RECTIFIERS LTD.,Electronic Components
379,NIPPOBATRY.BO,INDO-NATIONAL LTD.,Non-Durable Household Prod.
380,ZENSARTECH.BO,ZENSAR TECHNOLOGIES LTD.,IT Consulting & Software
381,JYOTI.BO,JYOTI LTD.-$,Heavy Electrical Equipment
